subjectID,structureID,parcellationID,md,snr,ad,goodvertex,rd,ndi,isovf,fa,odi,number_of_vertices,surface_area_mm^2,gray_matter_volume_mm^3,thickness,thickness_std,mean_curv,gaus_curv,foldind,curvind,hemisphere,sessionID
1_002,lh_caudalanteriorcingulate,aparc,1.2248,42.0595,1.3264,1.0,1.174,0.2831,0.2914,0.0819,0.3369,1184,767,2199,2.425,0.794,0.1119999999999999,0.02,13,1.0,lh,1
1_002,lh_caudalmiddlefrontal,aparc,1.1748,39.9127,1.2612,1.0,1.1316,0.2742,0.2503,0.0766,0.3725,4302,2754,7684,2.611,0.4679999999999999,0.103,0.022,32,3.8,lh,1
1_002,lh_cuneus,aparc,1.2751,50.1197,1.346,1.0,1.2397,0.2933,0.3184,0.0589,0.4563,2139,1447,2856,1.867,0.475,0.141,0.035,24,3.1,lh,1
1_002,lh_entorhinal,aparc,1.171,22.5334,1.2379,0.9713,1.1376,0.4629,0.3039,0.0631,0.4906,558,365,1703,3.235,0.7759999999999999,0.115,0.036,5,0.8,lh,1
1_002,lh_fusiform,aparc,1.0314,39.4971,1.1079,1.0,0.9932,0.3003,0.1862,0.0779,0.4092,4745,3164,9797,2.697,0.628,0.12,0.0279999999999999,51,5.4,lh,1
1_002,lh_inferiorparietal,aparc,1.0417,61.1483,1.1243,1.0,1.0004,0.2468,0.1604,0.0843,0.3835,7612,5030,13732,2.451,0.5529999999999999,0.12,0.024,84,7.9,lh,1
1_002,lh_inferiortemporal,aparc,0.9631,34.973,1.0415,0.9968,0.924,0.3337,0.153,0.0864,0.4098,5643,3743,12639,2.806,0.6759999999999999,0.123,0.03,74,6.7,lh,1
1_002,lh_isthmuscingulate,aparc,1.0446,35.5256,1.2072,0.9956,0.9633,0.387,0.2043,0.1556,0.2558,1580,1032,2377,2.042,0.857,0.1159999999999999,0.0289999999999999,20,1.4,lh,1
1_002,lh_lateraloccipital,aparc,1.147,47.9411,1.2192,0.9999,1.1109,0.3129,0.2555,0.0672,0.4345,6954,4563,10979,2.116,0.613,0.138,0.034,86,9.8,lh,1
1_002,lh_lateralorbitofrontal,aparc,1.0182,40.3154,1.1021,0.9998,0.9762,0.262,0.1535,0.0878,0.3725,4299,2911,8563,2.687,0.685,0.121,0.03,54,5.6,lh,1
1_002,lh_lingual,aparc,1.3793,40.2581,1.4493,0.9986,1.3443,0.3759,0.368,0.0578,0.4694,3698,2452,3752,1.518,0.452,0.131,0.037,46,5.2,lh,1
1_002,lh_medialorbitofrontal,aparc,1.0904,38.0569,1.1725,0.9991,1.0494,0.2837,0.198,0.0792,0.3891,3189,2143,5818,2.397,0.708,0.12,0.032,47,4.0,lh,1
1_002,lh_middletemporal,aparc,0.988,44.5743,1.0647,1.0,0.9496,0.2647,0.1384,0.0814,0.398,5786,3867,14972,3.034,0.752,0.12,0.0279999999999999,66,6.6,lh,1
1_002,lh_parahippocampal,aparc,1.1337,32.8051,1.2025,0.9983,1.0993,0.3715,0.2445,0.0667,0.4525,1195,713,1912,2.339,0.526,0.076,0.0139999999999999,6,0.7,lh,1
1_002,lh_paracentral,aparc,1.1366,39.9199,1.2275,1.0,1.0912,0.329,0.2564,0.0887,0.3954,2506,1557,4334,2.559,0.5329999999999999,0.099,0.024,15,2.5,lh,1
1_002,lh_parsopercularis,aparc,1.0413,47.4515,1.1262,1.0,0.9988,0.2525,0.1562,0.0851,0.3657,2437,1566,5513,2.875,0.581,0.102,0.022,20,2.0,lh,1
1_002,lh_parsorbitalis,aparc,1.0556,43.7227,1.1373,1.0,1.0148,0.2501,0.1728,0.0796,0.3793,992,743,2622,2.754,0.774,0.158,0.044,19,2.0,lh,1
1_002,lh_parstriangularis,aparc,1.0267,44.1527,1.1042,1.0,0.988,0.2718,0.1642,0.0822,0.4125,2158,1371,4221,2.685,0.64,0.106,0.02,18,1.7,lh,1
1_002,lh_pericalcarine,aparc,1.2954,45.3109,1.382,1.0,1.252,0.2955,0.3367,0.0702,0.3915,1687,1114,1430,1.55,0.39,0.129,0.03,16,2.3,lh,1
1_002,lh_postcentral,aparc,1.2408,44.1392,1.3323,1.0,1.1951,0.2848,0.2856,0.0817,0.3735,6579,4168,10360,2.247,0.6970000000000001,0.105,0.022,54,6.1,lh,1
1_002,lh_posteriorcingulate,aparc,1.1685,38.3841,1.269,1.0,1.1183,0.3017,0.2644,0.085,0.3433,2123,1454,3996,2.519,0.711,0.121,0.027,26,2.5,lh,1
